from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
REG_578521,514896,2,122,0,0,0,0
514896,REG_98755,2,135,0,0,0,0
REG_98755,514896,2,135,0,0,0,0
568371,582982,2,33,0,0,0,0
582982,568371,2,33,0,0,0,0
568371,664598,2,63,0,0,0,0
664598,568371,2,63,0,0,0,0
568371,433436,2,173,0,0,0,0
433436,568371,2,173,0,0,0,0
568371,REG_62016,2,13,0,0,0,0
REG_62016,568371,2,13,0,0,0,0
568371,REG_227699,2,53,0,0,0,0
REG_227699,568371,2,53,0,0,0,0
568371,REG_364604,2,63,0,0,0,0
REG_364604,568371,2,63,0,0,0,0
568371,REG_578521,2,73,0,0,0,0
REG_578521,568371,2,73,0,0,0,0
568371,REG_98755,2,85,0,0,0,0
REG_98755,568371,2,85,0,0,0,0
582982,664598,2,31,0,0,0,0
664598,582982,2,31,0,0,0,0
582982,433436,2,182,0,0,0,0
433436,582982,2,182,0,0,0,0
582982,REG_62016,2,45,0,0,0,0
REG_62016,582982,2,45,0,0,0,0
582982,REG_227699,2,82,0,0,0,0
REG_227699,582982,2,82,0,0,0,0
582982,REG_364604,2,94,0,0,0,0
REG_364604,582982,2,94,0,0,0,0
582982,REG_578521,2,104,0,0,0,0
REG_578521,582982,2,104,0,0,0,0
582982,REG_98755,2,117,0,0,0,0
REG_98755,582982,2,117,0,0,0,0
664598,433436,2,201,0,0,0,0
433436,664598,2,201,0,0,0,0
664598,REG_62016,2,75,0,0,0,0
REG_62016,664598,2,75,0,0,0,0
664598,REG_227699,2,112,0,0,0,0
REG_227699,664598,2,112,0,0,0,0
664598,REG_364604,2,124,0,0,0,0
REG_364604,664598,2,124,0,0,0,0
664598,REG_578521,2,134,0,0,0,0
REG_578521,664598,2,134,0,0,0,0
664598,REG_98755,2,147,0,0,0,0
REG_98755,664598,2,147,0,0,0,0
252903,35575,2,14,0,0,0,0
35575,252903,2,14,0,0,0,0
252903,36555,2,62,0,0,0,0
36555,252903,2,62,0,0,0,0
252903,494830,2,15,0,0,0,0
494830,252903,2,15,0,0,0,0
252903,599744,2,29,0,0,0,0
599744,252903,2,29,0,0,0,0
252903,190061,2,111,0,0,0,0
190061,252903,2,111,0,0,0,0
252903,REG_617075,2,31,0,0,0,0
REG_617075,252903,2,31,0,0,0,0
252903,REG_196476,2,44,0,0,0,0
REG_196476,252903,2,44,0,0,0,0
252903,REG_226521,2,60,0,0,0,0
REG_226521,252903,2,60,0,0,0,0
35575,36555,2,69,0,0,0,0
36555,35575,2,69,0,0,0,0
35575,494830,2,28,0,0,0,0
494830,35575,2,28,0,0,0,0
35575,599744,2,42,0,0,0,0
599744,35575,2,42,0,0,0,0
35575,190061,2,124,0,0,0,0
190061,35575,2,124,0,0,0,0
35575,REG_617075,2,43,0,0,0,0
REG_617075,35575,2,43,0,0,0,0
35575,REG_196476,2,57,0,0,0,0
REG_196476,35575,2,57,0,0,0,0
35575,REG_226521,2,73,0,0,0,0
REG_226521,35575,2,73,0,0,0,0
36555,494830,2,53,0,0,0,0
494830,36555,2,53,0,0,0,0
36555,599744,2,53,0,0,0,0
599744,36555,2,53,0,0,0,0
36555,190061,2,91,0,0,0,0
190061,36555,2,91,0,0,0,0
36555,REG_617075,2,47,0,0,0,0
REG_617075,36555,2,47,0,0,0,0
36555,REG_196476,2,46,0,0,0,0
REG_196476,36555,2,46,0,0,0,0
36555,REG_226521,2,54,0,0,0,0
REG_226521,36555,2,54,0,0,0,0
494830,599744,2,15,0,0,0,0
599744,494830,2,15,0,0,0,0
494830,190061,2,97,0,0,0,0
190061,494830,2,97,0,0,0,0
494830,REG_617075,2,16,0,0,0,0
REG_617075,494830,2,16,0,0,0,0
494830,REG_196476,2,29,0,0,0,0
REG_196476,494830,2,29,0,0,0,0
494830,REG_226521,2,45,0,0,0,0
REG_226521,494830,2,45,0,0,0,0
599744,190061,2,83,0,0,0,0
190061,599744,2,83,0,0,0,0
599744,REG_617075,2,6,0,0,0,0
REG_617075,599744,2,6,0,0,0,0
599744,REG_196476,2,17,0,0,0,0
REG_196476,599744,2,17,0,0,0,0
599744,REG_226521,2,31,0,0,0,0
REG_226521,599744,2,31,0,0,0,0
13333,192857,2,13,0,0,0,0
192857,13333,2,13,0,0,0,0
13333,245790,2,26,0,0,0,0
245790,13333,2,26,0,0,0,0
13333,406861,2,38,0,0,0,0
406861,13333,2,38,0,0,0,0
13333,477121,2,36,0,0,0,0
477121,13333,2,36,0,0,0,0
13333,590380,2,12,0,0,0,0
590380,13333,2,12,0,0,0,0
13333,REG_120571,2,45,0,0,0,0
REG_120571,13333,2,45,0,0,0,0
13333,REG_186438,2,59,0,0,0,0
REG_186438,13333,2,59,0,0,0,0
13333,REG_342740,2,79,0,0,0,0
REG_342740,13333,2,79,0,0,0,0
13333,REG_350526,2,67,0,0,0,0
REG_350526,13333,2,67,0,0,0,0
192857,245790,2,39,0,0,0,0
245790,192857,2,39,0,0,0,0
192857,406861,2,32,0,0,0,0
406861,192857,2,32,0,0,0,0
192857,477121,2,49,0,0,0,0
477121,192857,2,49,0,0,0,0
192857,590380,2,25,0,0,0,0
590380,192857,2,25,0,0,0,0
192857,REG_120571,2,58,0,0,0,0
REG_120571,192857,2,58,0,0,0,0
192857,REG_186438,2,71,0,0,0,0
REG_186438,192857,2,71,0,0,0,0
192857,REG_342740,2,91,0,0,0,0
REG_342740,192857,2,91,0,0,0,0
192857,REG_350526,2,80,0,0,0,0
REG_350526,192857,2,80,0,0,0,0
245790,406861,2,56,0,0,0,0
406861,245790,2,56,0,0,0,0
245790,477121,2,11,0,0,0,0
477121,245790,2,11,0,0,0,0
245790,590380,2,14,0,0,0,0
590380,245790,2,14,0,0,0,0
245790,REG_120571,2,20,0,0,0,0
REG_120571,245790,2,20,0,0,0,0
245790,REG_186438,2,33,0,0,0,0
REG_186438,245790,2,33,0,0,0,0
245790,REG_342740,2,53,0,0,0,0
REG_342740,245790,2,53,0,0,0,0
245790,REG_350526,2,42,0,0,0,0
REG_350526,245790,2,42,0,0,0,0
406861,477121,2,65,0,0,0,0
477121,406861,2,65,0,0,0,0
406861,590380,2,45,0,0,0,0
590380,406861,2,45,0,0,0,0
406861,REG_120571,2,74,0,0,0,0
REG_120571,406861,2,74,0,0,0,0
406861,REG_186438,2,87,0,0,0,0
REG_186438,406861,2,87,0,0,0,0
406861,REG_342740,2,105,0,0,0,0
REG_342740,406861,2,105,0,0,0,0
406861,REG_350526,2,94,0,0,0,0
REG_350526,406861,2,94,0,0,0,0
477121,590380,2,24,0,0,0,0
590380,477121,2,24,0,0,0,0
477121,REG_120571,2,10,0,0,0,0
REG_120571,477121,2,10,0,0,0,0
477121,REG_186438,2,23,0,0,0,0
REG_186438,477121,2,23,0,0,0,0
477121,REG_342740,2,43,0,0,0,0
REG_342740,477121,2,43,0,0,0,0
477121,REG_350526,2,32,0,0,0,0
REG_350526,477121,2,32,0,0,0,0
292435,406794,2,20,0,0,0,0
406794,292435,2,20,0,0,0,0
292435,303047,2,53,0,0,0,0
303047,292435,2,53,0,0,0,0
292435,REG_229966,2,114,0,0,0,0
REG_229966,292435,2,114,0,0,0,0
292435,REG_26992,2,87,0,0,0,0
REG_26992,292435,2,87,0,0,0,0
292435,REG_449614,2,91,0,0,0,0
REG_449614,292435,2,91,0,0,0,0
292435,REG_534747,2,87,0,0,0,0
REG_534747,292435,2,87,0,0,0,0
292435,REG_156545,2,12,0,0,0,0
REG_156545,292435,2,12,0,0,0,0
292435,REG_178257,2,93,0,0,0,0
REG_178257,292435,2,93,0,0,0,0
292435,REG_208889,2,35,0,0,0,0
REG_208889,292435,2,35,0,0,0,0
292435,REG_230258,2,69,0,0,0,0
REG_230258,292435,2,69,0,0,0,0
292435,REG_390718,2,63,0,0,0,0
REG_390718,292435,2,63,0,0,0,0
292435,REG_651307,2,45,0,0,0,0
REG_651307,292435,2,45,0,0,0,0
406794,303047,2,64,0,0,0,0
303047,406794,2,64,0,0,0,0
406794,REG_229966,2,122,0,0,0,0
REG_229966,406794,2,122,0,0,0,0
406794,REG_26992,2,105,0,0,0,0
REG_26992,406794,2,105,0,0,0,0
406794,REG_449614,2,109,0,0,0,0
REG_449614,406794,2,109,0,0,0,0
406794,REG_534747,2,96,0,0,0,0
REG_534747,406794,2,96,0,0,0,0
406794,REG_156545,2,31,0,0,0,0
REG_156545,406794,2,31,0,0,0,0
406794,REG_178257,2,106,0,0,0,0
REG_178257,406794,2,106,0,0,0,0
406794,REG_208889,2,54,0,0,0,0
REG_208889,406794,2,54,0,0,0,0
406794,REG_230258,2,88,0,0,0,0
REG_230258,406794,2,88,0,0,0,0
406794,REG_390718,2,81,0,0,0,0
REG_390718,406794,2,81,0,0,0,0
406794,REG_651307,2,64,0,0,0,0
REG_651307,406794,2,64,0,0,0,0
457280,18072,2,11,0,0,0,0
18072,457280,2,11,0,0,0,0
457280,REG_83768,2,36,0,0,0,0
REG_83768,457280,2,36,0,0,0,0
457280,REG_328916,2,103,0,0,0,0
REG_328916,457280,2,103,0,0,0,0
457280,REG_521928,2,114,0,0,0,0
REG_521928,457280,2,114,0,0,0,0
457280,REG_656456,2,63,0,0,0,0
REG_656456,457280,2,63,0,0,0,0
457280,REG_82493,2,48,0,0,0,0
REG_82493,457280,2,48,0,0,0,0
235891,276329,2,13,0,0,0,0
276329,235891,2,13,0,0,0,0
235891,350963,2,23,0,0,0,0
350963,235891,2,23,0,0,0,0
235891,536097,2,11,0,0,0,0
536097,235891,2,11,0,0,0,0
235891,393645,2,106,0,0,0,0
393645,235891,2,106,0,0,0,0
235891,REG_409968,2,117,0,0,0,0
REG_409968,235891,2,117,0,0,0,0
235891,REG_621035,2,115,0,0,0,0
REG_621035,235891,2,115,0,0,0,0
276329,350963,2,35,0,0,0,0
350963,276329,2,35,0,0,0,0
276329,536097,2,23,0,0,0,0
536097,276329,2,23,0,0,0,0
276329,393645,2,112,0,0,0,0
393645,276329,2,112,0,0,0,0
276329,REG_409968,2,114,0,0,0,0
REG_409968,276329,2,114,0,0,0,0
276329,REG_621035,2,113,0,0,0,0
REG_621035,276329,2,113,0,0,0,0
350963,536097,2,12,0,0,0,0
536097,350963,2,12,0,0,0,0
350963,393645,2,100,0,0,0,0
393645,350963,2,100,0,0,0,0
350963,REG_409968,2,127,0,0,0,0
REG_409968,350963,2,127,0,0,0,0
350963,REG_621035,2,123,0,0,0,0
REG_621035,350963,2,123,0,0,0,0
536097,393645,2,103,0,0,0,0
393645,536097,2,103,0,0,0,0
536097,REG_409968,2,122,0,0,0,0
REG_409968,536097,2,122,0,0,0,0
536097,REG_621035,2,119,0,0,0,0
REG_621035,536097,2,119,0,0,0,0
60361,61475,2,190,0,0,0,0
61475,60361,2,190,0,0,0,0
60361,REG_267874,2,12,0,0,0,0
REG_267874,60361,2,12,0,0,0,0
60361,REG_529801,2,21,0,0,0,0
REG_529801,60361,2,21,0,0,0,0
60361,REG_537802,2,10,0,0,0,0
REG_537802,60361,2,10,0,0,0,0
60361,REG_107688,2,253,0,0,0,0
REG_107688,60361,2,253,0,0,0,0
60361,REG_135725,2,250,0,0,0,0
REG_135725,60361,2,250,0,0,0,0
60361,REG_184261,2,250,0,0,0,0
REG_184261,60361,2,250,0,0,0,0
60361,REG_27095,2,251,0,0,0,0
REG_27095,60361,2,251,0,0,0,0
118720,354182,2,184,0,0,0,0
354182,118720,2,184,0,0,0,0
118720,REG_181454,2,86,0,0,0,0
REG_181454,118720,2,86,0,0,0,0
118720,REG_241223,2,89,0,0,0,0
REG_241223,118720,2,89,0,0,0,0
118720,REG_245394,2,17,0,0,0,0
REG_245394,118720,2,17,0,0,0,0
118720,REG_438439,2,24,0,0,0,0
REG_438439,118720,2,24,0,0,0,0
118720,REG_607980,2,41,0,0,0,0
REG_607980,118720,2,41,0,0,0,0
118720,REG_248775,2,129,0,0,0,0
REG_248775,118720,2,129,0,0,0,0
118720,REG_523054,2,121,0,0,0,0
REG_523054,118720,2,121,0,0,0,0
380537,504826,2,9,0,0,0,0
504826,380537,2,9,0,0,0,0
380537,597724,2,27,0,0,0,0
597724,380537,2,27,0,0,0,0
380537,76341,2,17,0,0,0,0
76341,380537,2,17,0,0,0,0
380537,532712,2,54,0,0,0,0
532712,380537,2,54,0,0,0,0
380537,REG_611301,2,86,0,0,0,0
REG_611301,380537,2,86,0,0,0,0
380537,REG_606505,2,56,0,0,0,0
REG_606505,380537,2,56,0,0,0,0
380537,REG_653505,2,49,0,0,0,0
REG_653505,380537,2,49,0,0,0,0
504826,597724,2,19,0,0,0,0
597724,504826,2,19,0,0,0,0
504826,76341,2,9,0,0,0,0
76341,504826,2,9,0,0,0,0
504826,532712,2,47,0,0,0,0
532712,504826,2,47,0,0,0,0
504826,REG_611301,2,83,0,0,0,0
REG_611301,504826,2,83,0,0,0,0
504826,REG_606505,2,49,0,0,0,0
REG_606505,504826,2,49,0,0,0,0
504826,REG_653505,2,43,0,0,0,0
REG_653505,504826,2,43,0,0,0,0
597724,76341,2,10,0,0,0,0
76341,597724,2,10,0,0,0,0
597724,532712,2,31,0,0,0,0
532712,597724,2,31,0,0,0,0
597724,REG_611301,2,78,0,0,0,0
REG_611301,597724,2,78,0,0,0,0
597724,REG_606505,2,35,0,0,0,0
REG_606505,597724,2,35,0,0,0,0
597724,REG_653505,2,30,0,0,0,0
REG_653505,597724,2,30,0,0,0,0
76341,532712,2,39,0,0,0,0
532712,76341,2,39,0,0,0,0
76341,REG_611301,2,79,0,0,0,0
REG_611301,76341,2,79,0,0,0,0
76341,REG_606505,2,42,0,0,0,0
REG_606505,76341,2,42,0,0,0,0
76341,REG_653505,2,36,0,0,0,0
REG_653505,76341,2,36,0,0,0,0
261491,71353,2,11,0,0,0,0
71353,261491,2,11,0,0,0,0
261491,593022,2,139,0,0,0,0
593022,261491,2,139,0,0,0,0
261491,REG_179849,2,107,0,0,0,0
REG_179849,261491,2,107,0,0,0,0
261491,REG_292767,2,59,0,0,0,0
REG_292767,261491,2,59,0,0,0,0
261491,REG_469746,2,47,0,0,0,0
REG_469746,261491,2,47,0,0,0,0
261491,REG_514432,2,36,0,0,0,0
REG_514432,261491,2,36,0,0,0,0
261491,REG_594862,2,23,0,0,0,0
REG_594862,261491,2,23,0,0,0,0
71353,593022,2,129,0,0,0,0
593022,71353,2,129,0,0,0,0
71353,REG_179849,2,110,0,0,0,0
REG_179849,71353,2,110,0,0,0,0
71353,REG_292767,2,49,0,0,0,0
REG_292767,71353,2,49,0,0,0,0
71353,REG_469746,2,37,0,0,0,0
REG_469746,71353,2,37,0,0,0,0
71353,REG_514432,2,26,0,0,0,0
REG_514432,71353,2,26,0,0,0,0
71353,REG_594862,2,13,0,0,0,0
REG_594862,71353,2,13,0,0,0,0
252286,227016,2,0,0,0,0,0
227016,252286,2,0,0,0,0,0
144753,607913,2,63,0,0,0,0
607913,144753,2,63,0,0,0,0
525944,567505,2,1,0,0,0,0
567505,525944,2,1,0,0,0,0
480104,564016,2,65,0,0,0,0
564016,480104,2,65,0,0,0,0
367121,495632,2,0,0,0,0,0
495632,367121,2,0,0,0,0,0
325594,182310,2,0,0,0,0,0
182310,325594,2,0,0,0,0,0
381405,11677,2,0,0,0,0,0
11677,381405,2,0,0,0,0,0
470699,180257,2,0,0,0,0,0
180257,470699,2,0,0,0,0,0
361660,546179,2,120,0,0,0,0
546179,361660,2,120,0,0,0,0
341347,658358,2,0,0,0,0,0
658358,341347,2,0,0,0,0,0
200901,472261,2,0,0,0,0,0
