route_id,service_id,trip_id
18,633,123769
18,633,1364597
18,633,252046
18,633,498905
18,633,88567
18,638,834864
18,680,1158894
18,798,1300913
18,798,1421999
18,798,1484422
18,798,263213
18,798,811080
18,804,658172
18,862,1283028
18,862,1405563
18,862,511696
18,872,908249
18,91,1409883
19,102,1138685
19,102,129287
19,102,1466677
19,102,1476909
19,102,149639
19,102,431220
19,102,431564
19,102,524319
19,102,585349
19,102,622614
19,102,834460
19,102,921628
19,102,933145
19,104,1426586
19,104,152984
19,115,289792
19,155,138553
19,155,396882
19,165,1138884
19,209,1288149
19,209,266212
19,209,331868
19,209,699988
19,209,87902
19,217,138599
19,245,77630
19,26,338293
19,265,1398010
19,265,206339
19,265,770180
19,273,126071
19,289,787262
19,302,746190
19,316,1239271
19,324,1492025
19,324,161515
19,324,72592
19,324,93509
19,331,1085016
19,331,1147760
19,331,1229798
19,331,1473194
19,331,1498210
19,331,245465
19,331,404993
19,331,49077
19,331,501501
19,331,513639
19,331,584265
19,331,640655
19,331,75374
19,331,87863
19,331,88038
19,331,967233
19,340,1219820
19,340,1245328
19,366,11230
19,366,1125867
19,366,1316227
19,366,1375100
19,366,241595
19,366,338763
19,366,670694
19,366,72844
19,366,747939
19,366,967520
19,367,1268767
19,367,1388304
19,367,940860
19,40,319268
19,410,1157709
19,411,1325487
19,424,455248
19,432,1379889
19,444,1064880
19,453,704684
19,533,1424660
19,56,1308341
19,56,482237
19,603,771270
19,616,150
19,620,838277
19,626,96144
19,628,1393135
19,663,794320
19,674,1482994
19,674,174499
19,674,80955
19,681,1271374
19,681,605803
19,681,933063
19,681,963042
19,685,293301
19,685,689865
19,685,750738
19,755,1258504
19,766,1317022
19,772,1039579
19,772,1208225
19,772,1259444
19,772,1371213
19,772,298198
19,772,486201
19,772,522910
19,772,557336
19,772,680269
19,772,76556
19,772,796598
19,772,870916
19,772,871561
19,772,920456
19,772,92570
19,772,953226
19,772,957874
19,823,1067866
19,823,1148627
19,823,1338720
19,823,1357838
19,823,1381124
19,823,138126
19,823,1386337
19,823,1391216
19,823,1411273
19,823,1415151
19,823,356479
19,823,395582
19,823,57506
19,823,649383
19,823,906013
19,823,927606
19,823,955774
19,940,579192
2,167,1118553
2,167,1490587
2,362,229548
2,362,64328
2,607,1418091
2,607,1420059
2,633,95433
2,633,985614
2,818,301964
2,818,68086
20,112,529937
20,127,405968
20,127,586094
20,127,829856
20,157,1123422
20,157,1239842
20,157,703682
20,166,1254083
20,227,1287365
20,227,829055
20,227,831163
20,273,1300461
20,283,1117811
20,302,1233006
20,302,1325465
20,302,133806
20,302,1338610
20,302,1377327
20,302,1457094
20,302,1494357
20,302,391770
20,302,411100
20,302,48412
20,302,491683
20,302,501487
20,302,513356
20,302,733240
20,302,759146
20,302,965090
20,302,989650
20,319,1462665
20,346,1182805
20,346,388722
20,352,26810
20,439,1463091
20,439,518462
20,439,70460
20,487,884654
20,508,209908
20,536,1109865
20,536,770505
20,582,234992
20,584,1329824
20,584,906743
20,620,659242
20,648,529708
20,657,365060
20,657,428200
20,657,684960
20,660,117711
20,705,991586
20,710,1190052
20,710,1234963
20,710,193359
20,787,1201192
20,827,644691
20,869,104057
20,886,1100141
20,886,1159588
20,886,842472
20,886,845402
20,89,642862
20,908,537023
20,911,475834
20,926,974465
20,933,398366
20,938,315996
20,940,460080
21,1,1009442
21,1,1145810
21,1,1303221
21,1,148236
21,1,164294
21,1,352098
21,1,466424
21,1,619906
21,1,702533
21,19,181791
21,19,236744
21,19,663780
21,227,339154
21,227,719098
21,316,441989
21,316,628630
21,749,1437973
21,772,1068724
21,772,758583
21,772,864800
21,890,986791
22,137,1326103
22,316,576222
22,316,951339
22,758,1047093
22,837,897183
23,173,482815
23,227,231696
23,291,220865
23,30,1013258
23,30,813785
23,316,1140644
23,326,958437
23,331,1001981
23,352,565699
23,364,173170
23,391,1491297
23,433,1285244
23,465,69029
23,465,742473
23,52,1202427
23,565,1207735
23,586,422838
23,595,678264
23,620,917080
23,620,931644
23,664,643187
23,682,1045006
23,708,917196
23,733,375150
23,775,1240553
23,775,1385390
23,818,447182
23,823,281682
23,835,846400
23,889,1075284
23,911,1475134
24,135,1425705
24,135,229886
24,136,22232
24,173,972241
24,291,352859
24,647,1125988
24,662,91907
24,667,1421257
24,804,1213042
24,810,1307120
25,1,1058175
25,1,464980
25,1,741474
25,102,612424
25,102,993444
25,103,922557
25,11,500476
25,11,539937
25,118,473021
25,121,1243304
25,121,63302
25,133,388427
25,138,515262
25,170,1016474
25,179,132439
25,191,798642
25,213,781056
25,216,734439
25,227,1160442
25,227,20014
25,227,71800
25,230,742963
25,233,9503
25,238,200435
25,238,829972
25,252,1296051
25,252,618610
25,26,1459633
25,273,905870
25,276,1161847
25,279,1230821
25,290,1218315
25,304,997346
25,313,948769
25,316,368049
25,325,1316218
25,325,788591
25,331,88949
25,331,936369
25,377,599854
25,385,555343
25,399,777529
25,433,11209
25,474,1347751
25,487,1172469
25,501,1371321
25,501,378605
25,501,392020
25,501,713749
25,501,785912
25,509,1296270
25,509,1413352
25,509,268730
25,509,297440
25,522,765191
25,536,110251
25,536,20081
25,562,34455
25,562,615507
25,574,670822
25,586,1262457
