stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Vichova n.Jizerou,3089.0,REG_18811,50.627186,15.484153,,
Viechtach,,REG_464147,49.078854,12.889369,1.0,
"Viechtach, Bahnhof/ZOB",464147.0,REG_420672,49.078854,12.889369,,
Vienenburg,256972.0,REG_279422,51.955032,10.562174,,
"Vienenburg, Bahnhof",,REG_256972,51.9551,10.562211,1.0,
Vierenstraße,459481.0,REG_660331,50.466904,12.967797,,
Vierkirchen-Esterhofen,,REG_156816,48.36072,11.444986,1.0,
Vierkirchen-Esterhofen,156816.0,REG_319137,48.36112,11.445108,,
Viernau,,REG_336015,50.66695,10.558975,1.0,
Viernau,336015.0,REG_385910,50.667107,10.558908,,
Viersen Boisheim Bf,,REG_257600,51.27616,6.272451,1.0,
Vieselbach,,REG_238228,50.992912,11.138387,1.0,
Vieselbach,238228.0,REG_345048,50.99295,11.138329,,
Vilemov u Sluknova,,REG_517529,50.992218,14.321183,1.0,
Vilemov u Sluknova,517529.0,REG_202529,50.99216,14.321317,,
Vilemov u Sluknova,517529.0,REG_27111,50.99228,14.32105,,
Villingen Bahnhof/ZOB,,REG_111555,48.057804,8.465526,1.0,
Villingen(Schwarzw),111555.0,REG_170931,48.05802,8.465261,,
Villingen-Schwenningen Eisstadion,95565.0,REG_4014,48.052773,8.528553,,
Villingen-Schwenningen Hammerstatt,133031.0,REG_4053,48.060177,8.546922,,
Villmar,467880.0,REG_93333,50.395653,8.187019,,
Villmar Bahnhof,,REG_467880,50.396084,8.187139,1.0,
Villmar-Aumenau Bahnhof,,REG_677870,50.400433,8.249571,1.0,
Vils Stadt,,REG_353892,47.549812,10.631642,1.0,
Vils Stadt,353892.0,REG_251710,47.549812,10.631642,,
Vilsbiburg,,REG_160406,48.447384,12.347496,1.0,
Vilsbiburg,160406.0,REG_457971,48.447384,12.3475,,
Vilseck,,REG_444573,49.615623,11.801051,1.0,
Vilseck,444573.0,REG_619791,49.615627,11.801058,,
Vilshofen (Niederbay),,REG_480345,48.62955,13.190871,1.0,
Vilshofen(Niederbay),480345.0,REG_67169,48.62955,13.190867,,
Vise,,REG_501437,50.737858,5.692657,1.0,
Vise,501437.0,REG_97897,50.737858,5.692657,,
Vise(fr),,REG_524525,50.758793,5.703064,1.0,
Vise(fr),524525.0,REG_248733,50.758793,5.703064,,
Visnova,,REG_182018,50.973305,15.028689,1.0,
Visnova,182018.0,REG_655815,50.973274,15.028473,,
Visselhövede,,REG_173780,52.98007,9.566647,1.0,
Visselhövede,173780.0,REG_316177,52.980026,9.566676,,
Vitineves,,REG_41226,50.399307,15.38073,1.0,
Vitineves,41226.0,REG_5344,50.399307,15.38073,,
Vlci Dul-Dobranov,,REG_646774,50.671684,14.607909,1.0,
Vlci Dul-Dobranov,646774.0,REG_146209,50.671474,14.607855,,
Vlcice,,REG_182535,50.546696,15.834514,1.0,
Vlcice,182535.0,REG_165946,50.546696,15.834514,,
Vlotho,537444.0,REG_549352,52.1718,8.86419,,
"Vlotho, Bahnhof",,REG_537444,52.171803,8.864189,1.0,
Voerde Bahnhof,,REG_350527,51.597317,6.689179,1.0,
Voerde Friedrichsfeld Bahnhof,,REG_8111,51.628704,6.645171,1.0,
Voerde(Niederrhein),350527.0,REG_403489,51.59754,6.688813,,
"Vogelsang (OHV), Bahnhof",,REG_27679,53.037655,13.38565,1.0,
Vogelsang(Kr Oberhavel),27679.0,REG_170187,53.037712,13.385778,,1
Vogelweh,,REG_222640,49.438717,7.707006,1.0,
Vogelweh,222640.0,REG_647767,49.438534,7.706011,,
Vohburg-Rockolding,,REG_301141,48.739433,11.60891,1.0,
Vohburg-Rockolding,301141.0,REG_355417,48.739437,11.608912,,
Voigtsgrün,141564.0,REG_539796,50.634018,12.426541,,
"Voigtsgrün, Bahnhof",,REG_141564,50.634117,12.426557,1.0,
Voigtstedt,554632.0,REG_468158,51.392185,11.307662,,
Voigtstedt (Bushaltestelle),,REG_554632,51.392185,11.307662,1.0,
Vojice,,REG_479933,50.384438,15.497942,1.0,
Vojice,479933.0,REG_573991,50.384438,15.497942,,
Vojtanov,,REG_546964,50.16775,12.327484,1.0,
